task_id,profile,channel,variant,confirmatory,horizon_min,target_window_min,history_min,direction_1_improvement,direction_2_improvement,pooled_q_improvement,q_bootstrap_positive_probability,pooled_conditional_improvement,conditional_bootstrap_positive_probability,S1_candidate,S1_status,d1_q_rmse,d1_ar_scale_rmse,d1_frozen_arq_improvement,d2_q_rmse,d2_ar_scale_rmse,d2_frozen_arq_improvement
R1__raw,R1,crystal_rotation,raw,True,2,1,30,0.0001583580080779523,0.00012502227773780739,0.00013595412024491882,0.54,-0.003260787803179843,0.34,False,S1_CANDIDATE_FAIL,0.09771336759031482,0.07428044888733096,-0.006231783775956012,0.14181307365057758,0.12870144336834702,-0.0022436861920780427
R2__innovation,R2,crystal_rotation,innovation,True,5,2,30,0.1106001240621648,0.0051713563448536615,0.03878058605664447,0.75,-0.00687663879948186,0.27,False,S1_CANDIDATE_FAIL,0.19134753550997402,0.12519973989696495,-0.01656448134923827,0.29992939101706195,0.2744006510438801,-0.004803536703008815
R2__raw,R2,crystal_rotation,raw,True,5,2,30,0.11021441517912356,-0.00012717563375508334,0.03504819398014525,0.66,-0.003981058162318751,0.33,False,S1_CANDIDATE_FAIL,0.19138902216078946,0.12519973989696495,-0.016757719802955595,0.30072705354209883,0.2744006510438801,-0.0012469794552076863
R3__innovation,R3,crystal_rotation,innovation,True,10,2,60,0.0513065821989761,0.00014059622573159292,0.01406878392960409,0.82,0.006181239038358877,0.79,True,S1_CANDIDATE_PASS,0.2568625395694685,0.18498890765092774,0.03275008973523674,0.4375118116896536,0.37642984765330484,-0.0004252638429109723
R3__raw,R3,crystal_rotation,raw,True,10,2,60,0.0010091519294289641,3.568968170042375e-05,0.0003006814462700458,0.51,-0.01134191661052908,0.08,False,S1_CANDIDATE_FAIL,0.26358372012386455,0.18498890765092774,-0.05593943026529602,0.4375347632406974,0.37642984765330484,-0.00025247936617334155
R4__innovation,R4,crystal_rotation,innovation,True,20,5,60,0.08633044095974218,0.0002050757482190413,0.022307236926154328,0.95,0.054373546308728926,0.98,True,S1_CANDIDATE_PASS,0.39410289999671966,0.28382136659798285,0.20280104078050176,0.7122038821564217,0.4585623294291577,-0.004209608769368156
R4__raw,R4,crystal_rotation,raw,True,20,5,60,-1.5072371829229763,8.051002584830158e-06,-0.3867929455804793,0.0,-1.7971158967966891,0.0,False,S1_CANDIDATE_FAIL,0.6528490293245595,0.28382136659798285,-6.340917196587105,0.7122740539850965,0.4585623294291577,-0.003713554885540704
R5__innovation,R5,crystal_rotation,innovation,True,40,5,120,0.002785675691648559,0.025449366553079722,0.021073024804274088,0.99,-0.1761128085444008,0.02,True,S1_CANDIDATE_PASS,0.3440997475491202,0.36106578285862095,-0.6714287938335062,0.7075452189443742,0.6326032902404752,-0.009051305321993386
R5__raw,R5,crystal_rotation,raw,True,40,5,120,-0.04463698013363504,-3.661955778522241e-05,-0.008648915815851366,0.2,-0.22029192681248833,0.0,False,S1_CANDIDATE_FAIL,0.3521865755734296,0.36106578285862095,-0.871205577970541,0.7167372042321669,0.6326032902404752,-0.0007500257632431229
R6__innovation,R6,crystal_rotation,innovation,True,60,10,120,0.005630094815791575,0.0004449325407699378,0.0021140867703487443,0.59,-0.3181661868068979,0.01,False,S1_CANDIDATE_FAIL,0.3711389832556024,0.3398713269684526,-0.955737457992444,0.5500355956596066,0.49333778055321503,-0.0042849605237942345
R6__raw,R6,crystal_rotation,raw,True,60,10,120,0.0028650475594250713,6.234780555303132e-05,0.0009645641490898527,0.66,-0.32207061684039195,0.0,False,S1_CANDIDATE_FAIL,0.37165463865263904,0.3398713269684526,-0.9666321888691312,0.55014085003585,0.49333778055321503,-0.004748011844176725
P1__raw_plus_thermal_states,P1,heater_power,raw_plus_thermal_states,True,10,5,60,-0.0006532368863096938,3.328321150108948e-05,-0.0001521216348721044,0.49,-0.023490155233842902,0.05,False,S1_CANDIDATE_FAIL,0.3113450017054735,0.20475542950571338,-0.07720389628346869,0.5187902269180571,0.31790412350803327,-0.0005843676130534714
P2__raw_plus_thermal_states,P2,heater_power,raw_plus_thermal_states,True,20,5,60,0.00033171121525821246,9.493998926746183e-05,0.00015567612923395036,0.83,-0.03633524402640087,0.03,False,S1_CANDIDATE_FAIL,0.41349203837196846,0.2818108270946844,-0.12581265158406585,0.7139870967147717,0.4690767657416706,-0.003120384456930747
P3__raw_plus_thermal_states,P3,heater_power,raw_plus_thermal_states,True,40,10,120,-0.001118762029699738,0.0005303125858274749,0.0001843696451468979,0.51,-0.1725009514265854,0.02,False,S1_CANDIDATE_FAIL,0.33538587707036666,0.3527258804262878,-0.7076665057170897,0.6625805701637842,0.6317931538842837,0.0006133588863637129
P4__raw_plus_thermal_states,P4,heater_power,raw_plus_thermal_states,True,60,10,120,0.10965690647194626,0.002398037100710515,0.03686257870144338,0.97,-0.6448961780124018,0.01,True,S1_CANDIDATE_PASS,0.3508461886749207,0.3545859891473224,-1.9762238680091744,0.5502828522026074,0.522427509825477,-0.007382465362707036
P5__raw_plus_thermal_states,P5,heater_power,raw_plus_thermal_states,True,90,15,180,-0.055356576788569534,-0.0021176434276508616,-0.01771788729750101,0.36,-0.7447288613488161,0.0,False,S1_CANDIDATE_FAIL,0.3919441784237557,0.3911098146111194,-2.4057732710766455,0.6062156302625182,0.5614068758242542,0.09706634305115391
P6__raw_plus_thermal_states,P6,heater_power,raw_plus_thermal_states,True,120,15,180,0.015803067846594687,0.047591524525392837,0.04039284389965114,0.67,-0.4308276243543203,0.03,False,S1_CANDIDATE_FAIL,0.3418314717784943,0.3879839579920509,-1.060038742406185,0.6362885100859064,0.5923954219050054,-0.14792192333601584
L1__pc1,L1,joint_lift,pc1,True,0.5,0.5,10,-0.11808654633402704,0.21051251977374552,0.07850010771970994,0.79,-0.2234790508366704,0.0,False,S1_CANDIDATE_FAIL,0.054142783348310256,0.04223269658395051,-0.03783920175752642,0.05626528995117445,0.0452301835997673,-0.389706601696437
L2__pc1,L2,joint_lift,pc1,True,1,0.5,10,0.016385155711486132,0.17404642631237566,0.11569778697402933,1.0,-0.27789353179038123,0.0,True,S1_CANDIDATE_PASS,0.06430747850860834,0.05869459807635416,0.005246492466740804,0.07791365665165965,0.06273008843937787,-0.5324860432918017
L3__pc1,L3,joint_lift,pc1,True,2,1,20,0.037699625280201765,0.23265845198212387,0.1709851977511061,1.0,0.05840893258897706,0.85,True,S1_CANDIDATE_PASS,0.09746773578701888,0.0776626714593752,0.011473563991520663,0.12970259567929746,0.12464441454113516,0.07713258129162526
L4__pc1,L4,joint_lift,pc1,True,5,1,20,0.0556498943578706,0.24508049890335804,0.1909562582299109,1.0,0.1352717958834826,0.97,True,S1_CANDIDATE_PASS,0.16882834106644967,0.13141901669697217,0.01917728799297025,0.24195031286405036,0.23954926471352092,0.1711810239837297
L5__pc1,L5,joint_lift,pc1,True,10,2,40,0.37567651642413313,0.44255013458512116,0.4214554993736075,1.0,0.11085863096621007,0.84,True,S1_CANDIDATE_PASS,0.23595464063778282,0.19682320952008,0.16567344345962176,0.3331683111292768,0.3515264995045376,0.09317731941975149
L6__pc1,L6,joint_lift,pc1,True,20,2,40,0.4361042839451327,0.500899190394794,0.4805964086284763,1.0,0.2107981090466351,1.0,True,S1_CANDIDATE_PASS,0.3474741349653157,0.3062800501951321,0.29807008683823955,0.4909933218755066,0.5346104784826115,0.18131139139884733
